"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFOS","idw__mil_milfire__25km","raw","detect","A_anydetect",0.0823846545773266,0.0136184281068496,1.4529780354091e-09,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__25km","raw","tobit","A_anydetect",0.193638021215227,0.0318677270789591,1.22983590154018e-09,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__25km","cov","detect","A_anydetect",0.0883678012966608,0.0155309906650314,1.2720884582986e-08,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__25km","cov","tobit","A_anydetect",0.213618280094228,0.0349436457426567,9.76391081687115e-10,6314,3500,0.360785555907507,"***"
"PFOA","idw__mil_milfire__25km","raw","detect","A_anydetect",0.126548566043236,0.0145833660655288,4.04220271596424e-18,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__25km","raw","tobit","A_anydetect",0.228923854551544,0.02791873621452,2.41088702004866e-16,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__25km","cov","detect","A_anydetect",0.106490836129991,0.0156200177995187,9.25820981681758e-12,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__25km","cov","tobit","A_anydetect",0.189756932053063,0.03461321012352,4.2004208520867e-08,6314,3500,0.354450427621159,"***"
"PFHxS","idw__mil_milfire__25km","raw","detect","A_anydetect",0.0552211083151019,0.0120990944812615,5.01714532356329e-06,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__25km","raw","tobit","A_anydetect",0.127457112828069,0.0300276831145056,2.18931373372676e-05,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__25km","cov","detect","A_anydetect",0.0425318270159595,0.0137433011256129,0.00196991132171846,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__25km","cov","tobit","A_anydetect",0.0840543393794759,0.0346509140237097,0.0152769298963642,6314,3500,0.276369971491923,"**"
"PFBS","idw__mil_milfire__25km","raw","detect","A_anydetect",-0.0160562544409753,0.015497345132803,0.300171892851362,6314,3500,0.452011403230915,""
"PFBS","idw__mil_milfire__25km","raw","tobit","A_anydetect",-0.0576585031267666,0.0308097011213265,0.0612841366955035,6314,3500,0.452011403230915,"*"
